AUTHOR_GENDER	TRANSLATOR_GENDER	PREDICTED
female	זכר	0
female	זכר	0
female	זכר	1
female	זכר	1
female	זכר	1
female	זכר	0
female	זכר	0
female	זכר	1
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	1
female	זכר	0
female	זכר	1
female	זכר	0
female	זכר	0
female	זכר	1
female	זכר	1
female	זכר	1
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	1
female	זכר	0
female	זכר	0
female	זכר	0
female	זכר	1
female	זכר	0
female	נקבה	0
female	נקבה	1
female	נקבה	1
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	1
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	1
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	1
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	1
female	נקבה	1
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	1
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	נקבה	0
female	nan	0
female	nan	0
female	nan	0
female	nan	0
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	0
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	0
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	0
male	זכר	0
male	זכר	1
male	זכר	1
male	זכר	1
male	נקבה	1
male	נקבה	0
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	0
male	נקבה	0
male	נקבה	0
male	נקבה	0
male	נקבה	1
male	נקבה	0
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	0
male	נקבה	1
male	נקבה	0
male	נקבה	0
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	0
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	0
male	נקבה	0
male	נקבה	0
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	0
male	נקבה	0
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	0
male	נקבה	0
male	נקבה	0
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	1
male	נקבה	0
male	נקבה	1
male	זכר ונקבה	0
male	זכר ונקבה	1
male	nan	1
male	nan	1
male	nan	1
male	nan	1
male	nan	1
male	nan	1
male	nan	1
male	nan	1
male	nan	1
male	nan	1
male	nan	1
male	nan	1
